FIPS,ID
13317,Wilkes_Georgia_UnitedStates
13321,Worth_Georgia_UnitedStates
15001,Hawaii_Hawaii_UnitedStates
15003,Honolulu_Hawaii_UnitedStates
15007,Kauai_Hawaii_UnitedStates
15009,Maui_Hawaii_UnitedStates
16001,Ada_Idaho_UnitedStates
16005,Bannock_Idaho_UnitedStates
16009,Benewah_Idaho_UnitedStates
16011,Bingham_Idaho_UnitedStates
16013,Blaine_Idaho_UnitedStates
16017,Bonner_Idaho_UnitedStates
16019,Bonneville_Idaho_UnitedStates
16021,Boundary_Idaho_UnitedStates
16027,Canyon_Idaho_UnitedStates
16029,Caribou_Idaho_UnitedStates
16031,Cassia_Idaho_UnitedStates
16039,Elmore_Idaho_UnitedStates
16045,Gem_Idaho_UnitedStates
16047,Gooding_Idaho_UnitedStates
16049,Idaho_Idaho_UnitedStates
16053,Jerome_Idaho_UnitedStates
16055,Kootenai_Idaho_UnitedStates
16057,Latah_Idaho_UnitedStates
16059,Lemhi_Idaho_UnitedStates
16065,Madison_Idaho_UnitedStates
16067,Minidoka_Idaho_UnitedStates
16069,NezPerce_Idaho_UnitedStates
16077,Power_Idaho_UnitedStates
16081,Teton_Idaho_UnitedStates
16083,TwinFalls_Idaho_UnitedStates
16085,Valley_Idaho_UnitedStates
16087,Washington_Idaho_UnitedStates
17001,Adams_Illinois_UnitedStates
17005,Bond_Illinois_UnitedStates
17011,Bureau_Illinois_UnitedStates
17019,Champaign_Illinois_UnitedStates
17021,Christian_Illinois_UnitedStates
17025,Clay_Illinois_UnitedStates
17027,Clinton_Illinois_UnitedStates
17029,Coles_Illinois_UnitedStates
17031,Cook_Illinois_UnitedStates
17033,Crawford_Illinois_UnitedStates
17037,DeKalb_Illinois_UnitedStates
17039,DeWitt_Illinois_UnitedStates
17043,DuPage_Illinois_UnitedStates
17049,Effingham_Illinois_UnitedStates
17051,Fayette_Illinois_UnitedStates
17053,Ford_Illinois_UnitedStates
17055,Franklin_Illinois_UnitedStates
17057,Fulton_Illinois_UnitedStates
17061,Greene_Illinois_UnitedStates
17063,Grundy_Illinois_UnitedStates
17065,Hamilton_Illinois_UnitedStates
17067,Hancock_Illinois_UnitedStates
17069,Hardin_Illinois_UnitedStates
17073,Henry_Illinois_UnitedStates
